admin1_abb,admin2_abb,admin2_name,type,fac_name,admin1_name
EC,BUF,Buffalo City,Clinic,Alphendale Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Amahleke Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Amatola TB Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Aspiranza Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Beacon Bay Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Berlin Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Bhisho Gateway Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Bhisho Parliament Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Braelyn Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Braelyn Extension Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Breidbach Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Bulembu Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Cambridge Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Central Clinic (East London),Eastern Cape
EC,BUF,Buffalo City,Clinic,Central Clinic (King William's Town),Eastern Cape
EC,BUF,Buffalo City,Clinic,Chris Hani Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Drake Road Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Fezeka NU 3 Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Fort Grey Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Frere Gateway Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Ginsberg Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Gompo A Ndende Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Gompo B Jwayi Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Gompo C Jabavu Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Gonubie Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Greenfields Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Grey Gateway Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Ilita Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Imidange Clinic,Eastern Cape
EC,BUF,Buffalo City,Clinic,Jafta Clinic,Eastern Cape
