fac_name,type,admin1_abb,admin2_abb,date_closed,date_opened,lat,long,info,ou3_abb,admin1_name,Date_closed
Aberdeen Hospital,District Hospital,EC,DC10,9999-12-31,1994-01-01,-32.48621,24.06093,,EC101,Eastern Cape,NA
Adelaide Hospital,District Hospital,EC,DC12,9999-12-31,1994-01-01,-32.700920000000004,26.29427,,EC129,Eastern Cape,NA
Aliwal North Hospital,District Hospital,EC,DC14,9999-12-31,1994-01-01,-30.69698,26.70719,,EC145,Eastern Cape,NA
All Saints Hospital,District Hospital,EC,DC13,9999-12-31,1994-01-01,-31.66197,28.05041,,EC137,Eastern Cape,NA
Andries Vosloo Hospital,District Hospital,EC,DC10,9999-12-31,1994-01-01,-32.72181,25.59525,,EC102,Eastern Cape,NA
Bambisana Hospital,District Hospital,EC,DC15,9999-12-31,1994-01-01,-31.45019,29.45397,,EC154,Eastern Cape,NA
Bedford Hospital,District Hospital,EC,DC12,9999-12-31,1994-01-01,-32.67534,26.09012,,EC129,Eastern Cape,NA
Bhisho Hospital,District Hospital,EC,BUF,9999-12-31,1994-01-01,-32.82774,27.45516,,BUF_SD,Eastern Cape,NA
BJ Vorster (Kareedouw) Hospital,District Hospital,EC,DC10,9999-12-31,1994-01-01,-33.95157,24.29786,,EC109,Eastern Cape,NA
Burgersdorp Hospital,District Hospital,EC,DC14,9999-12-31,1994-01-01,-30.99357,26.31398,,EC145,Eastern Cape,NA
Butterworth Hospital,District Hospital,EC,DC12,9999-12-31,1994-01-01,-32.33232,28.13877,,EC122,Eastern Cape,NA
Cala Hospital,District Hospital,EC,DC13,9999-12-31,1994-01-01,-31.52236,27.68274,,EC138,Eastern Cape,NA
Canzibe Hospital,District Hospital,EC,DC15,9999-12-31,1994-01-01,-31.80885,29.06588,,EC155,Eastern Cape,NA
Cathcart Hospital,District Hospital,EC,DC12,9999-12-31,1994-01-01,-32.29026,27.13691,,EC124,Eastern Cape,NA
Cloete Joubert (Barkly East) Hospital,District Hospital,EC,DC14,9999-12-31,1994-01-01,-30.96762,27.58507,,EC142,Eastern Cape,NA
Cofimvaba Hospital,District Hospital,EC,DC13,9999-12-31,1994-01-01,-32.01197,27.58348,,EC135,Eastern Cape,NA
Cradock Hospital,District Hospital,EC,DC13,9999-12-31,1994-01-01,-32.16734,25.62243,,EC131,Eastern Cape,NA
Dordrecht Hospital,District Hospital,EC,DC13,9999-12-31,1994-01-01,-31.39132,27.04435,,EC136,Eastern Cape,NA
Dr Malizo Mpehle Memorial Hospital,District Hospital,EC,DC15,9999-12-31,2009-01-01,-31.31661,28.77775,,EC156,Eastern Cape,NA
Elliot Hospital,District Hospital,EC,DC13,9999-12-31,1994-01-01,-31.33719,27.83797,,EC138,Eastern Cape,NA
Empilisweni Hospital,District Hospital,EC,DC14,9999-12-31,1994-01-01,-30.53324,27.35337,,EC142,Eastern Cape,NA
Fort Beaufort Hospital,District Hospital,EC,DC12,9999-12-31,1994-01-01,-32.7817,26.63483,,EC129,Eastern Cape,NA
Glen Grey Hospital,District Hospital,EC,DC13,9999-12-31,1994-01-01,-31.71991,27.19939,,EC136,Eastern Cape,NA
Greenville Hospital,District Hospital,EC,DC44,9999-12-31,1994-01-01,-30.93056,30.10899,,EC443,Eastern Cape,NA
Grey Hospital,District Hospital,EC,BUF,9999-12-31,1994-01-01,-32.87932,27.39579,,BUF_SD,Eastern Cape,NA
Hewu Hospital,District Hospital,EC,DC13,9999-12-31,1994-01-01,-32.17271,26.80522,,EC139,Eastern Cape,NA
Holy Cross Hospital,District Hospital,EC,DC15,9999-12-31,1994-01-01,-31.08128,29.49531,,EC153,Eastern Cape,NA
Humansdorp Hospital,District Hospital,EC,DC10,9999-12-31,1994-01-01,-34.03025,24.78144,,EC108,Eastern Cape,NA
Indwe Hospital,District Hospital,EC,DC13,9999-12-31,1994-01-01,-31.46834,27.34042,,EC136,Eastern Cape,NA
Isilimela Hospital,District Hospital,EC,DC15,9999-12-31,1994-01-01,-31.73422,29.35888,,EC154,Eastern Cape,NA
