admin1_name,admin2_name,admin3_name,fac_id,fac_name,date_opened,date_closed,coordinates,long,lat,contactperson,address,org_owner,org_rural_urban,type,admin1_abb
Eastern Cape,A Nzo,Matatiele,Fws0A9spb9F,Afsondering Clinic,1994-01-01,NA,"[28.94812,-30.17988]",28.94812,-30.1798,The Manager,"Kwa Makhoba Location, Lusikisiki, 4820",Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,Wt1U8zI67lw,Bergview Pharmacy,2018-07-01,NA,"[28.80539,-30.342847]",28.80539,-30.3428,NA,"Pick'n Pay Centre, Main Road, Matatiele",Private,Urban,Pharmacy,EC
Eastern Cape,A Nzo,Matatiele,aHIqh7chx7S,Dr Mpho Desmond Liphapang General Practitioner,2014-03-01,NA,NA,NA,NA,NA,NA,Private,Urban,General Practitioner,EC
Eastern Cape,A Nzo,Matatiele,oNIYza7bHm6,Elukholweni Clinic,1994-01-01,NA,"[28.84811,-30.6329]",28.84811,-30.6329,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,f7IdRkIcJ5m,Isilindini Clinic,1994-01-01,NA,"[28.59078,-30.62002]",28.59078,-30.62,NA,Zingcuka,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,SwOx9oIofK8,Khotsong TB Hospital,1994-01-01,NA,"[28.82118,-30.34818]",28.82118,-30.3481,NA,Jagger Street,Gov Province,Urban,Specialised TB Hospital,EC
Eastern Cape,A Nzo,Matatiele,QGeIzsFyxxF,Likhetlane Clinic,1994-01-01,NA,"[28.52615,-30.35708]",28.52615,-30.357,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,uMcy01ZFgQc,Madlangala Clinic,2009-01-01,NA,"[27.898844,-33.001818]",27.898844,-33.0018,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,ZvuafdFqSdo,Magadla Clinic,1994-01-01,NA,"[28.682489,-30.33802]",28.682489,-30.338,NA,NA,Gov Province,Rural,Clinic,EC
Eastern Cape,A Nzo,Matatiele,IfJ2Fco1X0Q,Maluti CHC,1994-01-01,NA,"[28.78891,-30.26589]",28.78891,-30.2658,NA,Maluti Township,Gov Province,Rural,Community Health Centre,EC
Eastern Cape,A Nzo,Matatiele,wmoIQyVbh3w,Maluti Health sub-District - Prov EHS,1994-01-01,NA,NA,NA,NA,NA,NA,Gov Province,Rural,EHS Prov Service,EC
Eastern Cape,A Nzo,Matatiele,kPTUQinBju9,Maluti Local Municipality - LG EHS,1994-01-01,2015-07-31,NA,NA,NA,NA,NA,Gov Municipality,Rural,EHS LG Service,EC
Eastern Cape,A Nzo,Matatiele,irTJkRFKVt9,Maluti Mobile 1,1994-01-01,NA,"[28.78891,-30.26589]",28.78891,-30.2658,NA,NA,Gov Province,Rural,Mobile Service,EC
Eastern Cape,A Nzo,Matatiele,g5mMQfp7WLx,Maluti Primary Condom Distribution Site,2017-04-01,NA,NA,NA,NA,NA,NA,Gov Province,Urban,Stock Distribution Point,EC
Eastern Cape,A Nzo,Matatiele,oXrhnHhHYMp,Matatiele Community Clinic,1994-01-01,NA,"[28.81461,-30.33437]",28.81461,-30.3343,NA,102 Jagger Street,Gov Province,Urban,Clinic,EC
Eastern Cape,A Nzo,Matatiele,EMZljUceIHr,Matatiele Correctional Centre,2013-04-01,NA,"[28.8059,-30.33697]",28.8059,-30.3369,NA,NA,Gov DCS,Urban,Correctional Centre,EC
