country,admin1_name,fac_name,type,org_owner,lat,long,country_iso3c,admin1_abb
South Africa,Eastern Cape,Aberdeen Hospital,District Hospital,MoH,-32.4862,24.06093,ZAF,EC
South Africa,Eastern Cape,Aberdeen Satellite Clinic,Satellite Clinic,MoH,-32.475,24.052,ZAF,EC
South Africa,Eastern Cape,AD Keet Clinic,Clinic,MoH,-34.0602,24.91831,ZAF,EC
South Africa,Eastern Cape,Addo Clinic,Clinic,MoH,-33.5422,25.69077,ZAF,EC
South Africa,Eastern Cape,Addo Enon Satellite Clinic,Satellite Clinic,MoH,-33.3946,25.54625,ZAF,EC
South Africa,Eastern Cape,Adelaide Clinic,Clinic,MoH,-32.7071,26.294605,ZAF,EC
South Africa,Eastern Cape,Adelaide Gateway Clinic,Clinic,MoH,-32.6999,26.29404,ZAF,EC
South Africa,Eastern Cape,Adelaide Hospital,District Hospital,MoH,-32.7009,26.29427,ZAF,EC
South Africa,Eastern Cape,Aeroville Clinic,Clinic,MoH,-32.7496,25.6035,ZAF,EC
South Africa,Eastern Cape,Afsondering Clinic,Clinic,MoH,-30.1798,28.94812,ZAF,EC
South Africa,Eastern Cape,Agnes Rest Clinic,Clinic,MoH,-31.6974,27.031329,ZAF,EC
South Africa,Eastern Cape,Albany Road Clinic,Clinic,MoH,-33.1803,26.32115,ZAF,EC
South Africa,Eastern Cape,Alexandria Clinic,Clinic,MoH,-33.6512,26.41422,ZAF,EC
South Africa,Eastern Cape,Algoa Park Clinic,Clinic,MoH,-33.9011,25.56448,ZAF,EC
South Africa,Eastern Cape,Alicedale Clinic,Clinic,MoH,-33.3173,26.0906,ZAF,EC
South Africa,Eastern Cape,Aliwal North Block H Clinic,Clinic,MoH,-30.6883,26.68674,ZAF,EC
South Africa,Eastern Cape,Aliwal North Hospital,District Hospital,MoH,-30.6969,26.70719,ZAF,EC
South Africa,Eastern Cape,All Saints Gateway Clinic,Clinic,MoH,-31.6619,28.0504,ZAF,EC
South Africa,Eastern Cape,All Saints Hospital,District Hospital,MoH,-31.6619,28.05041,ZAF,EC
South Africa,Eastern Cape,Alphendale Clinic,Clinic,MoH,-33.0135,27.84133,ZAF,EC
South Africa,Eastern Cape,Amabele Clinic,Clinic,MoH,-32.6633,27.52389,ZAF,EC
South Africa,Eastern Cape,Amadiba Clinic,Clinic,MoH,-31.0731,30.179245,ZAF,EC
