province,district_name,district_mdb
EC,A Nzo, DC44
EC,Amathole, DC12
EC,Buffalo City, BUF
EC,C Hani, DC13
EC,Joe Gqabi, DC14
EC,N Mandela Bay, NMA
EC,OR Tambo, DC15
EC,S Baartman, DC10
FS,Fezile Dabi, DC20
FS,Lejweleputswa, DC18
FS,Mangaung, MAN
FS,Xhariep, DC16
FS,T Mofutsanyana, DC19
GP,Ekurhuleni, EKU
GP,Johannesburg, JHB
GP,Sedibeng, DC42
GP,Tshwane, TSH
GP,West Rand, DC48
KZN,Amajuba, DC25
KZN,eThekwini, ETH
KZN,iLembe, DC29
KZN,Ugu, DC21
KZN,uMgungundlovu, DC22
KZN,uMkhanyakude, DC27
KZN,uMzinyathi, DC24
KZN,uThukela, DC23
KZN,Zululand, DC26
KZN,Harry Gwala, DC43
KZN,King Cetshwayo, DC28
LP,Capricorn, DC35
LP,Mopani, DC33
LP,Vhembe, DC34
LP,Waterberg, DC36
LP,Sekhukhune, DC47
MP,Ehlanzeni, DC32
MP,G Sibande, DC30
MP,Nkangala, DC31
NC,Frances Baard, DC9
NC,JT Gaetsewe, DC45
NC,Namakwa, DC6
NC,Pixley ka Seme, DC7
NC,ZF Mgcawu, DC8
NW,Bojanala, DC37
NW,Dr K Kaunda, DC40
NW,NM Molema, DC38
NW,RS Mompati, DC39
WC,Cape Town, CPT
WC,Cape Winelands, DC2
WC,Central Karoo, DC5
WC,Eden, DC4
WC,Overberg, DC3
WC,West Coast, DC1
